Issn,Title,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,HJRS Category
1628828,ieee transactions on pattern analysis and machine intelligence,36.6,7.338,"8,269",377,24.314,0.06637,Q1,W
"15540669, 15540677",foundations and trends in information retrieval,30.5,6.543,"3,343",35,13.286,0.00057,Q1,W
2684012,international journal of information management,28.8,5.416,"4,584",132,18.958,0.01601,Q1,W
1089778X,ieee transactions on evolutionary computation,25.7,5.617,"6,078",186,16.497,0.01134,Q1,W
1636804,ieee communications magazine,24.6,3.542,"5,147",260,9.03,0.03189,Q1,W
"18731457, 15710645",physics of life reviews,23.3,3.464,"1,992",67,9.833,0.0029,Q1,W
1556603X,ieee computational intelligence magazine,22.1,5.751,"3,594",62,9.809,0.00313,Q1,W
10636706,ieee transactions on fuzzy systems,21.9,3.143,"4,080",202,12.253,0.02189,Q1,W
7338716,ieee journal on selected areas in communications,21.2,3.559,"6,320",242,13.081,0.03321,Q1,W
"2162237X, 21622388",ieee transactions on neural networks and learning systems,20.8,3.306,"4,222",221,14.255,0.05097,Q1,W
"08908044, 1558156X",ieee network,18.7,3.149,"5,053",135,10.294,0.01479,Q1,W
"14678667, 10939687",computer-aided civil and infrastructure engineering,17.2,3.187,"3,134",89,10.066,0.00619,Q1,W
23274662,ieee internet of things journal,17.1,2.952,"3,848",119,10.238,0.05014,Q1,W
"09205691, 15731405",international journal of computer vision,16.8,4.168,"6,838",201,13.369,0.01735,Q1,W
10967516,internet and higher education,16.8,5.3,"3,906",99,8.591,0.00366,Q1,W
10577149,ieee transactions on image processing,16.4,3.131,"4,030",296,11.041,0.07687,Q1,W
25225839,nature machine intelligence,16.3,6.962,"4,602",26,25.898,0.01094,Q1,W
21695172,soft robotics,16.3,2.795,"3,027",50,7.784,0.00631,Q1,W
"17452767, 17452759",virtual and physical prototyping,16.2,1.993,"1,858",51,10.962,0.00258,Q1,W
"13501917, 13652575",information systems journal,16,3.495,"2,823",94,7.767,0.00313,Q1,W
"10958592, 10848045",journal of network and computer applications,15.7,2.512,"2,193",115,7.574,0.01178,Q1,W
"13618415, 13618423",medical image analysis,15.6,4.042,"4,172",143,13.828,0.01971,Q1,W
313203,pattern recognition,15.5,3.089,"3,113",218,8.518,0.03053,Q1,W
"02692821, 15737462",artificial intelligence review,14.9,3.569,"2,180",86,9.588,0.00681,Q1,W
15566013,ieee transactions on information forensics and security,14.9,3.244,"3,299",140,7.231,0.01916,Q1,W
"02783649, 17413176",international journal of robotics research,14.8,3.181,"3,403",170,6.887,0.00957,Q1,W
21961115,journal of big data,14.4,4.661,"2,592",45,10.835,0.00615,Q1,W
"15577368, 07300301",acm transactions on graphics,14.2,2.676,"7,148",221,7.403,0.03064,Q1,W
"23528648, 24685925",digital communications and networks,14.1,2.581,"1,813",33,6.348,0.00175,Q1,W
"17411106, 17411114",international journal of web and grid services,13.9,2.642,"1,617",26,0.825,0.00057,Q1,W
7365853,telematics and informatics,13.9,3.067,"1,690",78,9.14,0.00912,Q1,W
19391374,ieee transactions on services computing,13.6,3.485,"2,714",77,11.019,0.00565,Q1,W
"1098111X, 08848173",international journal of intelligent systems,13.6,1.912,"1,693",92,8.993,0.00518,Q1,W
"13674811, 13674803",bioinformatics,13.4,2.272,"3,400",415,6.931,0.1379,Q1,W
"15728145, 09565515",journal of intelligent manufacturing,13.3,2.69,"1,929",85,7.136,0.00689,Q1,W
10414347,ieee transactions on knowledge and data engineering,13.1,3.619,"2,431",183,9.235,0.01714,Q1,W
"08936080, 18792782",neural networks,13.1,2.808,"2,781",154,9.657,0.02002,Q1,W
10836101,journal of computer-mediated communication,13,4.259,"2,369",126,7.432,0.00399,Q1,W
15361233,ieee transactions on mobile computing,12.6,2.059,"2,426",143,6.075,0.01134,Q1,W
2471285X,ieee transactions on emerging topics in computational intelligence,12.5,2.29,"2,013",25,4.851,0.00203,Q1,W
9574174,expert systems with applications,12.2,2.985,"2,070",225,8.665,0.03931,Q1,W
20566387,npj quantum information,12.2,2.263,"3,385",47,10.758,0.01316,Q1,W
200255,information sciences,12.1,2.404,"2,290",194,8.233,0.04621,Q1,W
9507051,knowledge-based systems,12,2.611,"2,192",135,8.139,0.02964,Q1,W
19430620,journal of optical communications and networking,11.8,1.801,"1,376",67,4.508,0.00382,Q1,W
"21576912, 21576904",acm transactions on intelligent systems and technology,11.7,2.766,"2,766",65,10.489,0.00537,Q1,W
10772626,ieee transactions on visualization and computer graphics,11.4,2.431,"1,753",148,5.226,0.01712,Q1,W
21687161,ieee transactions on cloud computing,11.3,1.889,"1,513",54,5.697,0.00383,Q1,W
9521976,engineering applications of artificial intelligence,11,2.301,"1,734",114,7.802,0.01181,Q1,W
23798858,ieee transactions on intelligent vehicles,10.9,2.131,"1,678",31,5.009,0.00312,Q1,W
17582946,journal of cheminformatics,10.7,2.239,"1,589",61,8.489,0.00668,Q1,W
"09333657, 18732860",artificial intelligence in medicine,10.4,2.24,"1,497",93,7.011,0.00494,Q1,W
"15729419, 13873326",information systems frontiers,10.3,2.308,"1,434",73,5.261,0.00359,Q1,W
9252312,neurocomputing,10.3,1.85,"1,660",157,5.779,0.06577,Q1,W
23773782,ieee transactions on sustainable computing,10.2,1.783,"1,350",25,4.908,0.00118,Q1,W
14740346,advanced engineering informatics,10.1,2.202,"1,601",90,7.862,0.00508,Q1,W
23780967,apl photonics,10,1.784,"1,971",38,6.382,0.00789,Q1,W
"24686557, 24682322",caai transactions on intelligence technology,10,2.297,"1,548",21,7.985,0.00107,Q1,W
15674223,electronic commerce research and applications,10,1.991,"1,365",82,5.622,0.00342,Q1,W
