,ISSN,Issn,Title,CiteScore,SNIP,SJR,H index,IF,"Eigen Factor
Score",Scopus_Quartile,SJR Quartile,HJRS Category,JPI,Medallion,HEC Recognized?,Scopus_Subject_Category,SCimago_Categories,SCimago_Areas,WoS_Category,HJRS_Subject_Category,ESA_Index,ESA_Index_Imputed,ESA_Quartile,ESA_Quartile_Imputed,ranked_ESA_Index,ranked_ESA_Index_Imputed
0,0162-8828,1628828,ieee transactions on pattern analysis and machine intelligence,36.6,7.182,8.269,397.0,24.314,0.06637,PQ1,JQ1,W,100,Platinum,Yes,Artificial Intelligence,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),Computer Science; Mathematics,"ENGINEERING, ELECTRICAL & ELECTRONIC",Artificial Intelligence,3.936666666666667,3.2566666666666677,ESA_Q1,ESAImp_Q1,1.0,1.0
1,,"19358245, 19358237",foundations and trends in machine learning,56.9,21.17,13.206,36.0,0.0,0.0,PQ1,JQ1,X,43,Clay,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1),Computer Science,,Artificial Intelligence,2.486666666666667,2.8383333333333334,ESA_Q1,ESAImp_Q1,2.0,2.0
2,2162-237X,"2162237X, 21622388",ieee transactions on neural networks and learning systems,20.8,3.199,4.222,234.0,14.255,0.05097,PQ1,JQ1,W,97,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Software (Q1),Computer Science,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE",Artificial Intelligence,2.478333333333333,2.0016666666666665,ESA_Q1,ESAImp_Q1,3.0,3.0
3,0925-2312,9252312,neurocomputing,10.3,1.788,1.66,177.0,5.779,0.06577,PQ1,JQ1,W,87,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1),Computer Science; Neuroscience,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,2.1183333333333336,1.63,ESA_Q1,ESAImp_Q1,4.0,5.0
4,0268-4012,2684012,international journal of information management,28.8,5.086,4.584,152.0,18.958,0.01601,PQ1,JQ1,W,96,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1),"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences",INFORMATION SCIENCE & LIBRARY SCIENCE,Artificial Intelligence,1.9566666666666668,1.6583333333333332,ESA_Q1,ESAImp_Q1,5.0,4.0
5,0020-0255,200255,information sciences,12.1,2.309,2.29,210.0,8.233,0.04621,PQ1,JQ1,W,92,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Decision Sciences; Engineering; Mathematics,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Artificial Intelligence,1.8983333333333332,1.515,ESA_Q1,ESAImp_Q1,6.0,8.0
6,2522-5839,25225839,nature machine intelligence,16.3,7.897,4.602,47.0,25.898,0.01094,PQ1,JQ1,W,88,Gold,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,1.87,1.531666666666667,ESA_Q1,ESAImp_Q1,7.0,7.0
7,0920-5691,"09205691, 15731405",international journal of computer vision,16.8,4.06,6.838,209.0,13.369,0.01735,PQ1,JQ1,W,97,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1),Computer Science,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Artificial Intelligence,1.8616666666666664,1.6133333333333333,ESA_Q1,ESAImp_Q1,8.0,6.0
8,0957-4174,9574174,expert systems with applications,12.2,2.897,2.07,249.0,8.665,0.03931,PQ1,JQ1,W,92,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Science Applications (Q1); Engineering (miscellaneous) (Q1),Computer Science; Engineering,"ENGINEERING, ELECTRICAL & ELECTRONIC",Artificial Intelligence,1.8216666666666663,1.4766666666666666,ESA_Q1,ESAImp_Q1,9.0,10.0
9,1063-6706,10636706,ieee transactions on fuzzy systems,21.9,2.991,4.08,211.0,12.253,0.02189,PQ1,JQ1,W,96,Platinum,Yes,Artificial Intelligence,Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Control and Systems Engineering (Q1),Computer Science; Engineering; Mathematics,"ENGINEERING, ELECTRICAL & ELECTRONIC",Artificial Intelligence,1.7633333333333334,1.4933333333333334,ESA_Q1,ESAImp_Q1,10.0,9.0
10,0031-3203,313203,pattern recognition,15.5,3.005,3.113,233.0,8.518,0.03053,PQ1,JQ1,W,94,Platinum,Yes,Artificial Intelligence,Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Signal Processing (Q1); Software (Q1),Computer Science,"ENGINEERING, ELECTRICAL & ELECTRONIC",Artificial Intelligence,1.725,1.4400000000000002,ESA_Q1,ESAImp_Q1,11.0,11.0
