,CiteScore,SNIP,SJR,H index,IF,ES,SJR Best Quartile,Scopus_Quartile,HJRS Category,Kmeanslabels,PCA2_labels,PCA3_labels,tSNE2_labels,IF_Quartile,cluster_labels
1064,1.2,0.176,0.197,23,0.339,0.00022,Q4,PQ2,Y,2,0,2,3,IF_Q4,3
606,0.9,0.353,0.172,15,0.36,0.00033,Q4,PQ4,Y,2,0,2,3,IF_Q4,3
1065,1.2,0.495,0.197,15,0.378,9e-05,Q4,PQ3,Y,2,0,2,3,IF_Q4,3
1066,1.2,0.3,0.204,20,0.436,0.00011,Q4,PQ3,Y,2,0,2,3,IF_Q4,3
601,1.2,0.464,0.226,28,0.455,0.00021,Q4,PQ4,Y,2,0,2,3,IF_Q4,3
1060,1.6,0.886,0.522,54,0.509,0.00139,Q2,PQ2,X,2,0,2,3,IF_Q4,3
605,1.0,0.915,0.425,36,0.536,0.00178,Q3,PQ3,X,2,0,2,3,IF_Q4,3
842,2.9,0.481,0.24,46,0.563,6e-05,Q4,PQ2,Y,2,0,2,3,IF_Q4,3
608,0.8,0.757,0.255,13,0.575,0.00014,Q3,PQ4,Y,2,0,2,3,IF_Q4,3
881,1.1,0.422,0.216,42,0.578,0.00036,Q4,PQ3,Y,2,0,2,3,IF_Q4,3
230,7.5,1.386,0.626,46,0.583,0.00049,Q2,PQ1,X,2,0,2,1,IF_Q4,3
1052,2.0,1.024,0.696,38,0.591,0.00194,Q2,PQ3,X,2,0,2,3,IF_Q4,3
586,1.6,0.416,0.248,57,0.598,0.00096,Q3,PQ3,Y,2,0,2,3,IF_Q4,3
878,1.4,0.553,0.183,46,0.613,0.00011,Q4,PQ3,Y,2,0,2,3,IF_Q4,3
858,2.3,1.202,0.676,41,0.616,0.00124,Q2,PQ2,X,2,0,2,3,IF_Q4,3
563,2.1,1.004,0.509,42,0.616,0.00156,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1068,0.7,0.739,0.26,25,0.641,0.00029,Q3,PQ2,X,2,0,2,3,IF_Q4,3
600,1.3,0.685,0.389,41,0.662,0.00113,Q2,PQ3,X,2,0,2,3,IF_Q4,3
884,1.0,1.071,0.115,42,0.688,0.00015,Q4,PQ1,Y,2,0,2,3,IF_Q4,3
599,1.3,1.087,0.724,48,0.69,0.00723,Q2,PQ2,W,2,0,2,3,IF_Q4,3
588,1.6,0.418,0.296,50,0.695,0.00216,Q3,PQ3,X,2,0,2,3,IF_Q4,3
1063,1.3,1.159,0.628,29,0.713,0.0013,Q2,PQ2,X,2,0,2,3,IF_Q4,3
579,1.8,1.478,0.449,22,0.722,0.00041,Q2,PQ3,X,2,0,2,3,IF_Q4,3
568,2.0,0.554,0.297,27,0.771,9e-05,Q3,PQ3,Y,2,0,2,3,IF_Q4,3
592,1.5,0.335,0.262,24,0.773,0.00025,Q3,PQ3,Y,2,0,2,3,IF_Q4,3
